2025-09-01 16:42:30 | INFO     | govnomet        | 📊 Используем данные из БД: 1 участников
2025-09-01 16:42:30 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:42:30 | INFO     | govnomet        | ✅ Список участников отправлен пользователю YanaGos
2025-09-01 16:42:34 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 16:42:34 | INFO     | govnomet.database | 👤 Пользователь 113296569 (@YanaGos) добавлен/обновлен в БД
2025-09-01 16:42:34 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:42:34 | INFO     | govnomet.game   | 💩 Обработка броска: YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 16:42:34 | INFO     | govnomet.game   | 🎯 Инициатор 113296569 - единственный участник, становится целью
2025-09-01 16:42:34 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 16:42:34 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 113296569 (direct_hit) в чате -1002387143721
2025-09-01 16:42:34 | INFO     | govnomet        | ✅ Бросок завершен: YanaGos -> direct_hit -> 1 целей
2025-09-01 16:42:41 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 16:42:41 | INFO     | govnomet.database | 👤 Пользователь 1187121219 (@va_feel) добавлен/обновлен в БД
2025-09-01 16:42:41 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:42:41 | INFO     | govnomet.game   | 💩 Обработка броска: va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 16:42:41 | INFO     | govnomet.game   | ✅ Бросок обработан: legendary -> 1 целей
2025-09-01 16:42:41 | INFO     | govnomet.database | 💩 Событие добавлено: 1187121219 -> 113296569 (legendary) в чате -1002387143721
2025-09-01 16:42:41 | INFO     | govnomet        | ✅ Бросок завершен: va_feel -> legendary -> 1 целей
2025-09-01 16:43:53 | INFO     | govnomet        | 📊 Команда /stats от пользователя va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 16:43:54 | INFO     | govnomet        | ✅ Статистика отправлена пользователю va_feel
2025-09-01 16:45:20 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:20 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:20 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:20 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:20 | INFO     | govnomet.game   | ✅ Бросок обработан: special -> 1 целей
2025-09-01 16:45:20 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (special) в чате -1002387143721
2025-09-01 16:45:21 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> special -> 1 целей
2025-09-01 16:45:23 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:23 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:23 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:24 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:24 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 16:45:24 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (direct_hit) в чате -1002387143721
2025-09-01 16:45:24 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> direct_hit -> 1 целей
2025-09-01 16:45:25 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:25 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:25 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:25 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:25 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:25 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:25 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:26 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:26 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:26 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:26 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:26 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 16:45:26 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (direct_hit) в чате -1002387143721
2025-09-01 16:45:27 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> direct_hit -> 1 целей
2025-09-01 16:45:27 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:27 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:27 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:27 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:27 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:28 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:28 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:28 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:28 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:28 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:28 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:28 | INFO     | govnomet.game   | ✅ Бросок обработан: legendary -> 1 целей
2025-09-01 16:45:28 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (legendary) в чате -1002387143721
2025-09-01 16:45:29 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> legendary -> 1 целей
2025-09-01 16:45:29 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:29 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:29 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:29 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:29 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 16:45:29 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (direct_hit) в чате -1002387143721
2025-09-01 16:45:30 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> direct_hit -> 1 целей
